College,Branch,Category,Gender,Region,Technical/Non Technical,Round,Cutoff %,Location
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Home District,Non Technical,1,77.6,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,SC,M,Home District,Non Technical,1,67.33,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTB,M,Home District,Non Technical,1,72.6,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTD,M,Home District,Non Technical,1,69.8,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,M,Home District,Non Technical,1,74.0,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,F,Home District,Non Technical,1,79.2,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,SC,F,Home District,Non Technical,1,72.8,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTC,F,Home District,Non Technical,1,75.2,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,F,Home District,Non Technical,2,73.4,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Home District,Technical,1,86.2,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Other Than Home District,Non Technical,1,54.8,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,M,Other Than Home District,Non Technical,1,73.4,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,SC,M,Other Than Home District,Non Technical,1,64.6,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,NTA,M,Other Than Home District,Non Technical,1,72.0,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,M,Other Than Home District,Non Technical,1,73.2,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OPEN,F,Other Than Home District,Non Technical,1,71.6,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,OBC,F,Other Than Home District,Non Technical,1,69.8,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Civil Engineering,EWS,G,State Level,Non Technical,1,77.8,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,OPEN,M,Home District,Non Technical,1,79.2,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,SC,M,Home District,Non Technical,1,65.6,Nashik Road
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Electrical Engineering,NTB,M,Home District,Non Technical,1,63.4,Nashik Road
